Log Date,Log Submission Date,Log Type,Logged in Username,Device Users,Device ID,Message,App Version,CommCare Version
"Jan 25, 2017 22:08 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_ACTIVIDAD_KAWOK3_REGISTRAR_LLAMADAS,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Saving form without firing triggers.,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_CONSULTA_EMBARAZO,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Cancelled,unknown,2.30.0
"Jan 25, 2017 22:11 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_ACTUALIZAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:12 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Cancelled,unknown,2.30.0
"Jan 25, 2017 22:12 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_CONSULTA_EMBARAZO,unknown,2.30.0
"Jan 25, 2017 22:12 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Cancelled,unknown,2.30.0
"Jan 25, 2017 22:12 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_CONSULTA_EMBARAZO,unknown,2.30.0
"Jan 25, 2017 22:14 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Saving form without firing triggers.,unknown,2.30.0
"Jan 25, 2017 22:14 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:14 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:15 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_ACTUALIZAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:16 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Saving form without firing triggers.,unknown,2.30.0
"Jan 25, 2017 22:16 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:16 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:16 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:19 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Saving form without firing triggers.,unknown,2.30.0
"Jan 25, 2017 22:19 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:19 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Completed,unknown,2.30.0
"Jan 25, 2017 22:20 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:21 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:21 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:22 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
"Jan 25, 2017 22:23 CST","Jan 27, 2017 17:57 CST",form-entry,atvae272,atvae272,866836020291621,Form Entry Starting|http://openrosa.org/formdesigner/KAWOK3_PERSONA_KAWOK3_AGREGAR_PERSONA,unknown,2.30.0
